turfID;alutray_ID;alutray_weight;wet_mass_g;dry_mass1;dry_mass2;dry_mass3;dry_mass4;porcelain_ID;porcelain_weight;burn_mass1;burn_mass2;total_cf_mass
;JOA A B10 I;3,7993;29,8649;21,9586;12,2869;12,1219;12,8251;41;9,1416;12,0849;12,0269;5,2046
;JOA A B10 C;3,837;40,1328;29,5658;14,1989;14,0236;13,3379;42;9,2163;12,679;12,6098;4,052
;JOA A B10 N;3,8001;32,3374;24,9545;14,063;13,8686;12,7112;44;8,6971;11,9314;11,8723;5,3583
;LIA  A B1 M;3,8396;28,2648;10,998;7,754;7,4149;10,9811;1;9,3818;9,7918;9,7766;2,3298
;LIA  A B1 I;3,8111;20,1878;11,8403;6,1417;6,0276;10,5017;2;9,0734;9,817;9,8008;5,6175
;LIA  A B1 C;3,8049;30,4241;11,6539;8,2327;7,8552;10,2262;3;8,9878;9,2071;9,1944;2,0939
;LIA  A B1 N;3,8178;38,5857;13,0314;8,7804;8,3055;10,6648;4;9,1403;9,3491;9,3301;2,0982
;LIA  A B2 M;3,83;29,5587;14,143;8,2201;7,9436;11,0537;5;9,171;9,8973;9,8789;4,2207
;LIA  A B2 I;3,8352;29,6671;15,662;8,7512;8,5035;10,9265;6;9,0239;10,1398;10,1188;5,6458
;LIA  A B2 C;3,795;16,1502;8,1491;5,9818;5,847;10,1602;7;8,9471;9,311;9,2991;2,2198
;LIA  A B2 N;3,8148;20,7135;8,5645;6,3484;6,1593;10,3921;8;9,025;9,2372;9,2214;2,3849
;LIA  A B3 M;3,8168;27,0927;10,3644;7,3074;6,993;10,2151;9;8,9025;9,1239;9,107;2,1596
;LIA  A B3 I;3,8109;32,1188;12,3976;8,0895;7,7083;10,9947;10;9,0325;9,4664;9,4488;2,3049
;LIA  A B3 C;3,801;29,5758;11,7398;8,4696;8,1046;11,2038;11;9,4347;10,0331;10,0114;2,198
;LIA  A B3 N;3,7964;30,1028;12,5484;8,283;7,873;10,4797;12;9,0001;9,3206;9,3054;2,1124
;LIA  A B4 M;3,8162;25,1513;9,9653;7,33;7,0478;10,4474;13;9,1189;9,3164;9,3006;2,1345
;LIA  A B4 I;3,8044;25,2983;9,3813;7,7178;6,4958;10,3262;14;9,005;9,167;9,1508;2,1754
;LIA  A B4 C;3,7894;25,117;10,5903;7,3102;7,0313;10,5772;16;9,0472;9,3669;9,352;2,2864
;LIA  A B4 N;3,7917;34,8111;13,9265;8,5713;8,2104;10,6151;17;8,9689;9,4178;9,4011;3,8795
;LIA  A B5 M;3,7866;15,2741;7,3076;5,6046;5,4834;10,2031;18;9,2292;9,4185;9,4103;2,3781
;LIA  A B5 I;3,802;30,1881;11,9385;8,614;8,1873;10,8854;19;9,2658;9,6258;9,6085;2,1236
;LIA  A B5 C;3,7796;22,851;10,6898;7,3976;7,128;10,3722;20;8,8971;9,2705;9,2551;2,1881
;LIA  A B5 N;3,7872;44,8412;24,283;11,2193;10,8906;12,074;21;8,9459;11,1231;11,0967;8,0261
;LIA  A B6 M;3,7844;32,358;12,9605;8,0826;7,7155;10,7009;22;8,9418;9,2694;9,2553;2,1708
;LIA  A B6 I;3,7896;35,6474;17,1896;11,1637;10,7272;11,6935;23;8,9877;10,3821;10,3523;4,177
;LIA  A B6 C;3,7798;33,6891;16,2278;10,8436;10,4988;11,8119;24;9,0004;10,5808;10,5455;3,634
;LIA  A B6 N;3,7741;29,0667;17,4841;9,3755;9,2198;11,5556;25;8,9922;11,0088;10,9723;6,8131
;LIA  A B7 M;3,8075;30,1506;14,6568;9,2615;8,9885;11,1421;26;8,93;10,1605;10,1319;4,0071
;LIA  A B7 I;3,7922;34,5309;13,5324;8,6932;8,3637;10,5452;27;8,7875;9,3803;9,3558;2,9878
;LIA  A B7 C;3,8201;31,1662;14,5191;9,5998;9,3141;11,0124;29;8,9626;10,0201;9,9955;3,9988
;LIA  A B7 N;3,8121;27,8783;12,4435;8,2104;8,0013;11,0928;30;9,2073;10,0792;10,0569;2,2196
;LIA  A B8 M;3,8045;35,6414;17,7852;11,3322;11,06;11,7447;31;9,1537;10,8235;10,7884;2,8715
;LIA  A B8 I;3,7812;36,6213;16,3273;11,036;10,6429;11,5939;32;9,2558;10,2999;10,2716;2,2033
;LIA  A B8 C;3,8099;30,6224;12,472;8,6756;8,4077;11,0742;33;8,9621;9,7753;9,7524;2,4851
;LIA  A B8 N;3,8239;33,7359;12,5299;9,2229;8,8252;10,8437;34;9,0814;9,5274;9,5071;2,3141
;LIA  A B9 M;3,8388;16,1295;7,7989;6,6835;5,6202;10,3701;35;9,479;9,9444;9,9352;2,868
;LIA  A B9 I;3,801;17,7229;10,0406;6,9774;6,8983;10,6797;36;8,7319;10,0971;10,0702;2,246
;LIA  A B9 C;3,7962;18,5056;9,7241;6,7124;6,6086;10,8638;37;9,084;10,0616;10,0398;2,3546
;LIA  A B9 N;3,7859;13,1703;8,5072;5,5043;5,4597;10;39;8,8157;9,4805;9,468;3,3672
;LIA  A B10 M;3,8256;32,6149;18,2927;9,7636;9,5567;11,7401;40;9,1845;10,757;10,7248;4,9351
;LIA  A B10 I;3,7871;32,3206;16,8788;8,386;8,1461;10,8105;41;9,1416;9,9278;9,9529;6,6692
;LIA  A B10 C;3,8131;22,7848;10,9731;7,4438;7,2824;10,9116;42;9,2163;9,9234;9,9057;2,7143
;LIA  A B10 N;3,7963;38,896;15,7365;9,9293;9,542;10,7893;44;8,6971;9,3764;9,3564;2,1493
